Line,shift,Code,IO parts,NIO parts,Material,Speed,Profile,start date,start time,end date,end time,start datetime,end datetime,total produced,error rate,time span,production speed [PC / min]
103,night,3006,6685,213,FX,16m,37.xxx,04/01/2022,21:55:00,05/01/2022,04:45:00,2022-01-04 21:55:00,2022-01-05 04:45:00,6898,0.030878515511742533,410.0,16.82439024390244
103,night,3005,548,378,FX,16m,37.xxx,05/01/2022,04:45:00,05/01/2022,05:55:00,2022-01-05 04:45:00,2022-01-05 05:55:00,926,0.408207343412527,70.0,13.228571428571428
103,early,3005,7161,929,FX,16m,37.xxx,05/01/2022,05:55:00,05/01/2022,13:55:00,2022-01-05 05:55:00,2022-01-05 13:55:00,8090,0.11483312731767614,480.0,16.854166666666668
103,late,3005,7149,934,FX,16m,37.xxx,05/01/2022,13:55:00,05/01/2022,21:55:00,2022-01-05 13:55:00,2022-01-05 21:55:00,8083,0.11555115674873191,480.0,16.839583333333334
103,night,3005,6881,873,FX,16m,37.xxx,05/01/2022,21:55:00,06/01/2022,05:55:00,2022-01-05 21:55:00,2022-01-06 05:55:00,7754,0.11258705184420945,480.0,16.154166666666665
103,early,3005,7497,469,FX,16m,37.xxx,06/01/2022,05:55:00,06/01/2022,13:55:00,2022-01-06 05:55:00,2022-01-06 13:55:00,7966,0.058875219683655534,480.0,16.595833333333335
103,late,3005,7348,716,FX,16m,37.xxx,06/01/2022,13:55:00,06/01/2022,21:55:00,2022-01-06 13:55:00,2022-01-06 21:55:00,8064,0.08878968253968254,480.0,16.8
103,night,3005,7394,485,FX,16m,37.xxx,06/01/2022,21:55:00,07/01/2022,05:55:00,2022-01-06 21:55:00,2022-01-07 05:55:00,7879,0.06155603502982612,480.0,16.414583333333333
103,early,3005,3355,1075,FX,16m,37.xxx,07/01/2022,05:55:00,07/01/2022,13:55:00,2022-01-07 05:55:00,2022-01-07 13:55:00,4430,0.24266365688487584,480.0,9.229166666666666
103,late,3005,5103,503,FX,16m,37.xxx,07/01/2022,13:55:00,07/01/2022,19:27:00,2022-01-07 13:55:00,2022-01-07 19:27:00,5606,0.08972529432750624,332.0,16.8855421686747
103,late,3004,1391,556,FX,14m,18.xx,07/01/2022,19:27:00,07/01/2022,21:55:00,2022-01-07 19:27:00,2022-01-07 21:55:00,1947,0.28556753980482796,148.0,13.155405405405405
103,night,3004,1196,39,FX,14m,18.xx,07/01/2022,21:55:00,07/01/2022,23:16:00,2022-01-07 21:55:00,2022-01-07 23:16:00,1235,0.031578947368421054,81.0,15.246913580246913
103,night,3006,5964,612,FX,16m,37.xxx,07/01/2022,23:16:00,08/01/2022,05:55:00,2022-01-07 23:16:00,2022-01-08 05:55:00,6576,0.09306569343065693,399.0,16.481203007518797
103,early,3006,7584,277,FX,16m,37.xxx,08/01/2022,05:55:00,08/01/2022,13:55:00,2022-01-08 05:55:00,2022-01-08 13:55:00,7861,0.0352372471695713,480.0,16.377083333333335
103,night,3006,4114,870,FX,16m,37.xxx,09/01/2022,21:55:00,10/01/2022,02:58:00,2022-01-09 21:55:00,2022-01-10 02:58:00,4984,0.1745585874799358,303.0,16.448844884488448
103,night,3007,2660,906,FX,20m,37.xxx,10/01/2022,02:58:00,10/01/2022,05:55:00,2022-01-10 02:58:00,2022-01-10 05:55:00,3566,0.25406618059450364,177.0,20.146892655367232
103,early,3007,9585,542,FX,20m,37.xxx,10/01/2022,05:55:00,10/01/2022,13:55:00,2022-01-10 05:55:00,2022-01-10 13:55:00,10127,0.053520292287943125,480.0,21.097916666666666
103,late,3007,93,2,FX,20m,37.xxx,10/01/2022,13:55:00,10/01/2022,13:59:00,2022-01-10 13:55:00,2022-01-10 13:59:00,95,0.021052631578947368,4.0,23.75
103,late,3008,5502,1002,FX,20m,18.xx,10/01/2022,13:59:00,10/01/2022,19:16:00,2022-01-10 13:59:00,2022-01-10 19:16:00,6504,0.1540590405904059,317.0,20.517350157728707
103,late,3005,2227,252,FX,16m,37.xxx,10/01/2022,19:16:00,10/01/2022,21:55:00,2022-01-10 19:16:00,2022-01-10 21:55:00,2479,0.10165389269866881,159.0,15.59119496855346
103,night,3005,7490,742,FX,16m,37.xxx,10/01/2022,21:55:00,11/01/2022,05:55:00,2022-01-10 21:55:00,2022-01-11 05:55:00,8232,0.09013605442176871,480.0,17.15
103,early,3005,6765,521,FX,16m,37.xxx,11/01/2022,05:55:00,11/01/2022,12:59:00,2022-01-11 05:55:00,2022-01-11 12:59:00,7286,0.07150699972550097,424.0,17.183962264150942
103,early,3004,171,495,FX,14m,18.xx,11/01/2022,12:59:00,11/01/2022,13:55:00,2022-01-11 12:59:00,2022-01-11 13:55:00,666,0.7432432432432432,56.0,11.892857142857142
103,late,3004,2613,141,FX,14m,18.xx,11/01/2022,13:55:00,11/01/2022,16:56:00,2022-01-11 13:55:00,2022-01-11 16:56:00,2754,0.05119825708061002,181.0,15.215469613259668
103,late,3006,4578,292,FX,16m,37.xxx,11/01/2022,16:56:00,11/01/2022,21:55:00,2022-01-11 16:56:00,2022-01-11 21:55:00,4870,0.05995893223819302,299.0,16.287625418060202
103,night,3006,7776,295,FX,16m,37.xxx,11/01/2022,21:55:00,12/01/2022,05:55:00,2022-01-11 21:55:00,2022-01-12 05:55:00,8071,0.03655061330690125,480.0,16.814583333333335
103,early,3006,4342,574,FX,16m,37.xxx,12/01/2022,05:55:00,12/01/2022,11:17:00,2022-01-12 05:55:00,2022-01-12 11:17:00,4916,0.11676159479251425,322.0,15.267080745341614
103,early,3005,2159,352,FX,16m,37.xxx,12/01/2022,11:17:00,12/01/2022,13:55:00,2022-01-12 11:17:00,2022-01-12 13:55:00,2511,0.1401831939466348,158.0,15.89240506329114
103,late,3005,3197,224,FX,16m,37.xxx,12/01/2022,13:55:00,12/01/2022,17:17:00,2022-01-12 13:55:00,2022-01-12 17:17:00,3421,0.06547793042969892,202.0,16.935643564356436
103,night,3005,5469,842,FX,16m,37.xxx,20/01/2022,21:55:00,21/01/2022,05:55:00,2022-01-20 21:55:00,2022-01-21 05:55:00,6311,0.1334178418634131,480.0,13.147916666666667
103,early,3005,2229,25,FX,16m,37.xxx,21/01/2022,05:55:00,21/01/2022,08:08:00,2022-01-21 05:55:00,2022-01-21 08:08:00,2254,0.011091393078970719,133.0,16.94736842105263
103,early,3006,4772,743,FX,16m,37.xxx,21/01/2022,08:08:00,21/01/2022,13:55:00,2022-01-21 08:08:00,2022-01-21 13:55:00,5515,0.13472348141432458,347.0,15.893371757925072
103,late,3006,7307,783,FX,16m,37.xxx,21/01/2022,13:55:00,21/01/2022,21:55:00,2022-01-21 13:55:00,2022-01-21 21:55:00,8090,0.09678615574783683,480.0,16.854166666666668
