Line,shift,Code,IO parts,NIO parts,Material,Speed,Profile,start date,start time,end date,end time,start datetime,end datetime,total produced,error rate,time span,production speed [PC / min]
105,early,5015,6001,2563,JD,40m,180.xxx,20/01/2024,10:05:00,20/01/2024,13:55:00,2024-01-20 10:05:00,2024-01-20 13:55:00,8564,0.2992760392340028,230.0,37.23478260869565
105,late,5015,19534,932,JD,40m,180.xxx,20/01/2024,13:55:00,20/01/2024,21:55:00,2024-01-20 13:55:00,2024-01-20 21:55:00,20466,0.045538942636567964,480.0,42.6375
105,night,5015,18263,1677,JD,40m,180.xxx,20/01/2024,21:55:00,21/01/2024,05:55:00,2024-01-20 21:55:00,2024-01-21 05:55:00,19940,0.08410230692076229,480.0,41.541666666666664
105,early,5015,19592,915,JD,40m,180.xxx,21/01/2024,05:55:00,21/01/2024,13:55:00,2024-01-21 05:55:00,2024-01-21 13:55:00,20507,0.044618910615887256,480.0,42.72291666666667
105,late,5015,15374,1680,JD,40m,180.xxx,21/01/2024,13:55:00,21/01/2024,21:55:00,2024-01-21 13:55:00,2024-01-21 21:55:00,17054,0.09851061334584262,480.0,35.52916666666667
105,night,5015,18859,1083,JD,40m,180.xxx,21/01/2024,21:55:00,22/01/2024,05:55:00,2024-01-21 21:55:00,2024-01-22 05:55:00,19942,0.054307491726005415,480.0,41.545833333333334
105,early,5015,5331,481,JD,40m,180.xxx,22/01/2024,05:55:00,22/01/2024,08:06:00,2024-01-22 05:55:00,2024-01-22 08:06:00,5812,0.0827598072952512,131.0,44.36641221374046
105,early,5015,7572,5299,JD,40m,180.xxx,27/01/2024,06:56:00,27/01/2024,13:55:00,2024-01-27 06:56:00,2024-01-27 13:55:00,12871,0.41170072255458007,419.0,30.718377088305488
105,late,5015,18941,2112,JD,40m,180.xxx,27/01/2024,13:55:00,27/01/2024,21:55:00,2024-01-27 13:55:00,2024-01-27 21:55:00,21053,0.10031824443072246,480.0,43.860416666666666
105,night,5015,19864,1193,JD,40m,180.xxx,27/01/2024,21:55:00,28/01/2024,05:55:00,2024-01-27 21:55:00,2024-01-28 05:55:00,21057,0.05665574393313388,480.0,43.86875
105,early,5015,19837,1210,JD,40m,180.xxx,28/01/2024,05:55:00,28/01/2024,13:55:00,2024-01-28 05:55:00,2024-01-28 13:55:00,21047,0.05749037867629591,480.0,43.84791666666667
105,late,5015,19340,1693,JD,40m,180.xxx,28/01/2024,13:55:00,28/01/2024,21:55:00,2024-01-28 13:55:00,2024-01-28 21:55:00,21033,0.08049255931155803,480.0,43.81875
105,night,5015,19398,1678,JD,40m,180.xxx,28/01/2024,21:55:00,29/01/2024,05:55:00,2024-01-28 21:55:00,2024-01-29 05:55:00,21076,0.07961662554564433,480.0,43.90833333333333
105,early,5015,2628,130,JD,40m,180.xxx,29/01/2024,05:55:00,29/01/2024,06:59:00,2024-01-29 05:55:00,2024-01-29 06:59:00,2758,0.04713560551124003,64.0,43.09375
105,late,5015,15593,2237,JD,40m,180.xxx,03/02/2024,14:33:00,03/02/2024,21:55:00,2024-02-03 14:33:00,2024-02-03 21:55:00,17830,0.12546270330902973,442.0,40.339366515837106
105,night,5015,18444,1824,JD,40m,180.xxx,03/02/2024,21:55:00,04/02/2024,05:55:00,2024-02-03 21:55:00,2024-02-04 05:55:00,20268,0.08999407933688573,480.0,42.225
105,early,5015,19126,1174,JD,40m,180.xxx,04/02/2024,05:55:00,04/02/2024,13:55:00,2024-02-04 05:55:00,2024-02-04 13:55:00,20300,0.05783251231527094,480.0,42.291666666666664
105,late,5015,19355,911,JD,40m,180.xxx,04/02/2024,13:55:00,04/02/2024,21:55:00,2024-02-04 13:55:00,2024-02-04 21:55:00,20266,0.044952136583440244,480.0,42.22083333333333
105,night,5015,19465,800,JD,40m,180.xxx,04/02/2024,21:55:00,05/02/2024,05:55:00,2024-02-04 21:55:00,2024-02-05 05:55:00,20265,0.03947693066864051,480.0,42.21875
