Line,shift,Code,IO parts,NIO parts,Material,Speed,Profile,start date,start time,end date,end time,start datetime,end datetime,total produced,error rate,time span,production speed [PC / min]
103,night,3057,4117,5382,ND,20m,79.xxx,23/01/2022,21:55:00,24/01/2022,05:55:00,2022-01-23 21:55:00,2022-01-24 05:55:00,9499,0.5665859564164649,480.0,19.789583333333333
103,early,3057,1781,2857,ND,20m,79.xxx,24/01/2022,05:55:00,24/01/2022,13:55:00,2022-01-24 05:55:00,2022-01-24 13:55:00,4638,0.6159982751185856,480.0,9.6625
103,late,3057,3,33,ND,20m,79.xxx,24/01/2022,13:55:00,24/01/2022,14:17:00,2022-01-24 13:55:00,2022-01-24 14:17:00,36,0.9166666666666666,22.0,1.6363636363636365
103,early,3058,0,617,ND,22m,143.xxx,14/02/2022,05:55:00,14/02/2022,13:55:00,2022-02-14 05:55:00,2022-02-14 13:55:00,617,1.0,480.0,1.2854166666666667
103,late,3058,7305,3179,ND,22m,143.xxx,14/02/2022,13:55:00,14/02/2022,21:55:00,2022-02-14 13:55:00,2022-02-14 21:55:00,10484,0.3032239603204884,480.0,21.841666666666665
103,night,3058,8041,1450,ND,22m,143.xxx,14/02/2022,21:55:00,15/02/2022,05:55:00,2022-02-14 21:55:00,2022-02-15 05:55:00,9491,0.15277631440311876,480.0,19.772916666666667
103,early,3058,1737,270,ND,22m,143.xxx,15/02/2022,05:55:00,15/02/2022,07:22:00,2022-02-15 05:55:00,2022-02-15 07:22:00,2007,0.13452914798206278,87.0,23.06896551724138
103,early,3057,1401,3898,ND,20m,79.xxx,15/02/2022,07:22:00,15/02/2022,13:55:00,2022-02-15 07:22:00,2022-02-15 13:55:00,5299,0.7356104925457634,393.0,13.483460559796438
103,late,3057,3413,3807,ND,20m,79.xxx,15/02/2022,13:55:00,15/02/2022,20:06:00,2022-02-15 13:55:00,2022-02-15 20:06:00,7220,0.5272853185595567,371.0,19.460916442048518
103,late,3058,3968,1883,ND,22m,143.xxx,10/03/2022,15:19:00,10/03/2022,21:55:00,2022-03-10 15:19:00,2022-03-10 21:55:00,5851,0.3218253290035891,396.0,14.775252525252526
103,night,3058,9872,1045,ND,22m,143.xxx,10/03/2022,21:55:00,11/03/2022,05:55:00,2022-03-10 21:55:00,2022-03-11 05:55:00,10917,0.09572226802235047,480.0,22.74375
103,early,3058,9418,1496,ND,22m,143.xxx,11/03/2022,05:55:00,11/03/2022,13:55:00,2022-03-11 05:55:00,2022-03-11 13:55:00,10914,0.13707165109034267,480.0,22.7375
103,late,3058,9712,1071,ND,22m,143.xxx,11/03/2022,13:55:00,11/03/2022,21:55:00,2022-03-11 13:55:00,2022-03-11 21:55:00,10783,0.09932300843920987,480.0,22.464583333333334
103,night,3058,9124,1790,ND,22m,143.xxx,11/03/2022,21:55:00,12/03/2022,05:55:00,2022-03-11 21:55:00,2022-03-12 05:55:00,10914,0.16400952904526298,480.0,22.7375
103,early,3058,7698,2001,ND,22m,143.xxx,12/03/2022,05:55:00,12/03/2022,13:10:00,2022-03-12 05:55:00,2022-03-12 13:10:00,9699,0.20630992885864521,435.0,22.29655172413793
103,night,3058,2984,1819,ND,22m,143.xxx,24/03/2022,00:11:00,24/03/2022,05:55:00,2022-03-24 00:11:00,2022-03-24 05:55:00,4803,0.3787216323131376,344.0,13.962209302325581
103,early,3058,8465,2497,ND,22m,143.xxx,24/03/2022,05:55:00,24/03/2022,13:55:00,2022-03-24 05:55:00,2022-03-24 13:55:00,10962,0.2277869002006933,480.0,22.8375
103,late,3058,9631,1388,ND,22m,143.xxx,24/03/2022,13:55:00,24/03/2022,21:55:00,2022-03-24 13:55:00,2022-03-24 21:55:00,11019,0.12596424357927216,480.0,22.95625
103,night,3058,9202,2024,ND,22m,143.xxx,24/03/2022,21:55:00,25/03/2022,05:55:00,2022-03-24 21:55:00,2022-03-25 05:55:00,11226,0.1802957420274363,480.0,23.3875
103,early,3058,10116,1110,ND,22m,143.xxx,25/03/2022,05:55:00,25/03/2022,13:55:00,2022-03-25 05:55:00,2022-03-25 13:55:00,11226,0.09887760555852486,480.0,23.3875
103,late,3058,10359,866,ND,22m,143.xxx,25/03/2022,13:55:00,25/03/2022,21:55:00,2022-03-25 13:55:00,2022-03-25 21:55:00,11225,0.07714922048997773,480.0,23.385416666666668
103,night,3058,10538,687,ND,22m,143.xxx,25/03/2022,21:55:00,26/03/2022,05:55:00,2022-03-25 21:55:00,2022-03-26 05:55:00,11225,0.061202672605790646,480.0,23.385416666666668
103,early,3058,9653,1290,ND,22m,143.xxx,26/03/2022,05:55:00,26/03/2022,13:55:00,2022-03-26 05:55:00,2022-03-26 13:55:00,10943,0.11788357854336105,480.0,22.797916666666666
103,early,3058,0,74,ND,22m,143.xxx,28/03/2022,05:55:00,28/03/2022,13:55:00,2022-03-28 05:55:00,2022-03-28 13:55:00,74,1.0,480.0,0.15416666666666667
103,late,3058,8781,2061,ND,22m,143.xxx,28/03/2022,13:55:00,28/03/2022,21:55:00,2022-03-28 13:55:00,2022-03-28 21:55:00,10842,0.19009407858328722,480.0,22.5875
103,night,3058,9932,1145,ND,22m,143.xxx,28/03/2022,21:55:00,29/03/2022,05:55:00,2022-03-28 21:55:00,2022-03-29 05:55:00,11077,0.10336733772682134,480.0,23.077083333333334
103,early,3058,10348,723,ND,22m,143.xxx,29/03/2022,05:55:00,29/03/2022,13:55:00,2022-03-29 05:55:00,2022-03-29 13:55:00,11071,0.06530575377111372,480.0,23.064583333333335
103,late,3058,9803,1263,ND,22m,143.xxx,29/03/2022,13:55:00,29/03/2022,21:55:00,2022-03-29 13:55:00,2022-03-29 21:55:00,11066,0.11413338152900777,480.0,23.054166666666667
103,night,3058,9876,1189,ND,22m,143.xxx,29/03/2022,21:55:00,30/03/2022,05:55:00,2022-03-29 21:55:00,2022-03-30 05:55:00,11065,0.10745594215996385,480.0,23.052083333333332
103,early,3058,9489,1240,ND,22m,143.xxx,30/03/2022,05:55:00,30/03/2022,13:55:00,2022-03-30 05:55:00,2022-03-30 13:55:00,10729,0.11557461086774164,480.0,22.352083333333333
