Line,shift,Code,IO parts,NIO parts,Material,Speed,Profile,start date,start time,end date,end time,start datetime,end datetime,total produced,error rate,time span,production speed [PC / min]
103,late,3053,1325,1375,NU,20m,80.xx,12/01/2022,17:17:00,12/01/2022,21:55:00,2022-01-12 17:17:00,2022-01-12 21:55:00,2700,0.5092592592592593,278.0,9.712230215827338
103,night,3053,9162,964,NU,20m,80.xx,12/01/2022,21:55:00,13/01/2022,05:55:00,2022-01-12 21:55:00,2022-01-13 05:55:00,10126,0.09520047402725657,480.0,21.095833333333335
103,early,3053,8844,1283,NU,20m,80.xx,13/01/2022,05:55:00,13/01/2022,13:55:00,2022-01-13 05:55:00,2022-01-13 13:55:00,10127,0.1266910239952602,480.0,21.097916666666666
103,late,3053,9004,1125,NU,20m,80.xx,13/01/2022,13:55:00,13/01/2022,21:55:00,2022-01-13 13:55:00,2022-01-13 21:55:00,10129,0.11106723269819331,480.0,21.102083333333333
103,night,3053,9128,1000,NU,20m,80.xx,13/01/2022,21:55:00,14/01/2022,05:55:00,2022-01-13 21:55:00,2022-01-14 05:55:00,10128,0.09873617693522907,480.0,21.1
103,early,3053,9152,978,NU,20m,80.xx,14/01/2022,05:55:00,14/01/2022,13:55:00,2022-01-14 05:55:00,2022-01-14 13:55:00,10130,0.09654491609081935,480.0,21.104166666666668
103,late,3053,9667,461,NU,20m,80.xx,14/01/2022,13:55:00,14/01/2022,21:55:00,2022-01-14 13:55:00,2022-01-14 21:55:00,10128,0.0455173775671406,480.0,21.1
103,night,3053,9507,622,NU,20m,80.xx,14/01/2022,21:55:00,15/01/2022,05:55:00,2022-01-14 21:55:00,2022-01-15 05:55:00,10129,0.06140783887846776,480.0,21.102083333333333
103,early,3053,9343,598,NU,20m,80.xx,15/01/2022,05:55:00,15/01/2022,13:46:00,2022-01-15 05:55:00,2022-01-15 13:46:00,9941,0.06015491399255608,471.0,21.10615711252654
103,early,3052,0,49,NU,22m,68.xxx,15/01/2022,13:46:00,15/01/2022,13:55:00,2022-01-15 13:46:00,2022-01-15 13:55:00,49,1.0,9.0,5.444444444444445
103,night,3052,7035,2696,NU,22m,68.xxx,16/01/2022,21:55:00,17/01/2022,05:55:00,2022-01-16 21:55:00,2022-01-17 05:55:00,9731,0.2770527181173569,480.0,20.272916666666667
103,early,3052,7551,744,NU,22m,68.xxx,17/01/2022,05:55:00,17/01/2022,11:47:00,2022-01-17 05:55:00,2022-01-17 11:47:00,8295,0.08969258589511754,352.0,23.56534090909091
103,early,3053,1880,462,NU,20m,80.xx,17/01/2022,11:47:00,17/01/2022,13:55:00,2022-01-17 11:47:00,2022-01-17 13:55:00,2342,0.19726729291204098,128.0,18.296875
103,late,3053,9648,622,NU,20m,80.xx,17/01/2022,13:55:00,17/01/2022,21:55:00,2022-01-17 13:55:00,2022-01-17 21:55:00,10270,0.06056475170399221,480.0,21.395833333333332
