Line,shift,Code,IO parts,NIO parts,Material,Speed,Profile,start date,start time,end date,end time,start datetime,end datetime,total produced,error rate,time span,production speed [PC / min]
104,early,4027,5634,1913,YL,20m,78.xxx,04/01/2022,05:55:00,04/01/2022,13:15:00,2022-01-04 05:55:00,2022-01-04 13:15:00,7547,0.2534782032595733,440.0,17.152272727272727
104,early,4026,163,536,YL,20m,69.xxx,04/01/2022,13:15:00,04/01/2022,13:55:00,2022-01-04 13:15:00,2022-01-04 13:55:00,699,0.7668097281831188,40.0,17.475
104,late,4026,5972,4017,YL,20m,69.xxx,04/01/2022,13:55:00,04/01/2022,21:55:00,2022-01-04 13:55:00,2022-01-04 21:55:00,9989,0.4021423565922515,480.0,20.810416666666665
104,night,4026,8136,1816,YL,20m,69.xxx,04/01/2022,21:55:00,05/01/2022,05:55:00,2022-01-04 21:55:00,2022-01-05 05:55:00,9952,0.182475884244373,480.0,20.733333333333334
104,early,4026,1493,75,YL,20m,69.xxx,05/01/2022,05:55:00,05/01/2022,07:10:00,2022-01-05 05:55:00,2022-01-05 07:10:00,1568,0.04783163265306122,75.0,20.906666666666666
104,early,4027,0,181,YL,20m,78.xxx,31/01/2022,05:55:00,31/01/2022,13:55:00,2022-01-31 05:55:00,2022-01-31 13:55:00,181,1.0,480.0,0.3770833333333333
104,late,4027,5135,1437,YL,20m,78.xxx,31/01/2022,13:55:00,31/01/2022,19:12:00,2022-01-31 13:55:00,2022-01-31 19:12:00,6572,0.2186548995739501,317.0,20.73186119873817
104,late,4026,1950,1165,YL,20m,69.xxx,31/01/2022,19:12:00,31/01/2022,21:55:00,2022-01-31 19:12:00,2022-01-31 21:55:00,3115,0.3739967897271268,163.0,19.11042944785276
104,night,4026,8187,1536,YL,20m,69.xxx,31/01/2022,21:55:00,01/02/2022,05:55:00,2022-01-31 21:55:00,2022-02-01 05:55:00,9723,0.15797593335390311,480.0,20.25625
104,early,4026,8784,1205,YL,20m,69.xxx,01/02/2022,05:55:00,01/02/2022,13:55:00,2022-02-01 05:55:00,2022-02-01 13:55:00,9989,0.12063269596556211,480.0,20.810416666666665
104,late,4026,9052,938,YL,20m,69.xxx,01/02/2022,13:55:00,01/02/2022,21:55:00,2022-02-01 13:55:00,2022-02-01 21:55:00,9990,0.0938938938938939,480.0,20.8125
104,night,4026,8515,1183,YL,20m,69.xxx,01/02/2022,21:55:00,02/02/2022,05:30:00,2022-02-01 21:55:00,2022-02-02 05:30:00,9698,0.12198391420911528,455.0,21.314285714285713
104,night,4026,1769,1923,YL,20m,69.xxx,14/02/2022,00:10:00,14/02/2022,05:55:00,2022-02-14 00:10:00,2022-02-14 05:55:00,3692,0.5208559046587216,345.0,10.701449275362318
104,early,4026,4691,201,YL,20m,69.xxx,14/02/2022,05:55:00,14/02/2022,09:49:00,2022-02-14 05:55:00,2022-02-14 09:49:00,4892,0.0410874897792314,234.0,20.905982905982906
104,early,4027,2400,2491,YL,20m,78.xxx,14/02/2022,09:49:00,14/02/2022,13:55:00,2022-02-14 09:49:00,2022-02-14 13:55:00,4891,0.5093028010631773,246.0,19.882113821138212
104,late,4027,7973,1720,YL,20m,78.xxx,14/02/2022,13:55:00,14/02/2022,21:55:00,2022-02-14 13:55:00,2022-02-14 21:55:00,9693,0.17744764262870114,480.0,20.19375
104,night,4027,4730,615,YL,20m,78.xxx,14/02/2022,21:55:00,15/02/2022,02:10:00,2022-02-14 21:55:00,2022-02-15 02:10:00,5345,0.11506080449017773,255.0,20.96078431372549
