,error rate,total produced,production speed [PC / min]
987,0.2929678188319428,4195,18.480176211453745
988,0.08690818122857408,10793,22.485416666666666
989,0.08634972087160094,11106,23.1375
990,0.0613896218117854,11370,23.6875
991,0.08055286556915221,11359,23.664583333333333
992,0.05965684117905851,11365,23.677083333333332
993,0.12065201571823607,6871,24.193661971830984
1065,0.16427783902976847,5442,12.424657534246576
1066,0.10912470130100009,11299,23.539583333333333
1067,0.09150968663512186,11201,23.335416666666667
1068,0.2223719676549865,3710,23.78205128205128
1108,0.23941068139963168,4344,20.884615384615383
1109,0.046234087694483735,11312,23.566666666666666
1110,0.0655913020229926,11221,23.377083333333335
1111,0.08313916543105274,9442,24.46113989637306
1147,1.0,68,3.5789473684210527
1148,0.10400978915662651,10624,22.133333333333333
1149,0.09044414535666218,11145,23.21875
1150,0.08575994318181818,11264,23.466666666666665
1151,0.07463082500663189,11309,23.560416666666665
1152,0.06144211238997969,5908,23.822580645161292
1217,0.27187304238880766,4789,16.92226148409894
1218,0.08725013506212857,11106,23.1375
1219,0.13797411869701026,11205,23.34375
1220,0.0734188412206988,11305,23.552083333333332
1221,0.05813644810193788,11301,23.54375
1222,0.08602631814519739,11171,23.272916666666667
1223,0.07334336016986641,11303,23.547916666666666
1224,0.1110260336906585,1306,25.607843137254903
1266,0.20843821167445764,8343,18.376651982378856
1267,0.0649867374005305,11310,23.5625
1268,0.07233177115571669,11309,23.560416666666665
1269,0.23510585918266863,4062,18.63302752293578
1288,,0,0.0
1289,0.13605799537718008,9518,19.829166666666666
1290,0.08889281611734559,11317,23.577083333333334
1291,0.10183076782949267,10979,22.872916666666665
1292,0.03901619039193135,11303,23.547916666666666
1293,0.054677148661778995,11321,23.585416666666667
1294,0.08347333981784419,11309,23.560416666666665
1295,0.09510693454309786,6172,24.20392156862745
1318,0.3328742868384812,5083,19.625482625482626
1319,0.05107811947684694,11316,23.575
1320,0.12953091684434967,11256,23.45
1321,0.37904893177119225,1451,29.02
1349,0.1506112469437653,2045,11.424581005586592
1350,0.05025214544811112,11303,23.547916666666666
1351,0.04271289429005451,11191,23.314583333333335
1352,0.057656435475665596,5897,23.400793650793652
1376,0.15597014925373134,8040,17.906458797327396
1377,0.10129043662718755,11314,23.570833333333333
1378,0.056981612961951575,10986,22.8875
1379,0.09578853046594982,11160,23.25
1380,0.08294278892917145,11309,23.560416666666665
1381,0.05487319961120438,11317,23.577083333333334
1382,0.13984201431745247,8102,24.33033033033033
1437,0.4936253677672442,3059,13.595555555555556
1438,0.09593899627593545,11278,23.495833333333334
1439,0.056894718185040764,11284,23.508333333333333
1440,0.0649025567673878,11186,23.304166666666667
1441,0.16043125691116844,10852,22.608333333333334
1442,0.07302375044310529,11284,23.508333333333333
1443,0.11592017738359202,11275,23.489583333333332
1444,0.1359741001713959,10502,21.879166666666666
1445,1.0,300,7.5
1482,0.381888495004834,3103,13.204255319148936
1483,0.14309974973185555,11188,23.308333333333334
1484,0.0710976478973628,11224,23.383333333333333
1485,0.07565095003518649,11368,23.683333333333334
1486,0.07144747287642234,11337,23.61875
1487,0.042643171806167404,11350,23.645833333333332
1488,0.049259720492597206,7227,23.773026315789473
1510,0.1839258114374034,6470,21.423841059602648
1511,0.06958303635067713,11224,23.383333333333333
1512,0.09212035648107297,11333,23.610416666666666
1513,0.07497243660418963,1814,24.84931506849315
1533,0.13882618510158012,9746,20.304166666666667
1534,0.0767781863844291,11149,23.227083333333333
1535,0.11847914226506892,11099,23.122916666666665
1536,0.11087489779231398,6115,23.79377431906615
1606,0.1603995853359721,10611,22.10625
1607,0.06950692423039605,11337,23.61875
1608,0.08808888888888888,11250,23.4375
1609,0.13105639396346305,11331,23.60625
1610,0.098481523742649,11393,23.735416666666666
1611,0.05951856097345913,11341,23.627083333333335
1612,0.07817547486755395,7739,23.73926380368098
1642,0.16322992700729927,10960,22.833333333333332
1643,0.06415792720542875,11347,23.639583333333334
1644,0.16545872370514406,11314,23.570833333333333
1645,0.05273492286115007,3565,23.766666666666666
1676,0.5025234318673396,2774,17.229813664596275
1677,0.15424813046220381,11099,23.122916666666665
1678,0.07418952618453865,11228,23.391666666666666
1679,0.06672496720594666,11435,23.822916666666668
1680,0.10078878177037687,1141,25.931818181818183
1704,0.16572061470303198,7223,22.224615384615383
1705,0.09515888995885494,11423,23.797916666666666
1706,0.0923126407204889,6218,24.772908366533866
1726,0.16896551724137931,11020,23.05439330543933
1727,0.1274253226243119,11081,24.14161220043573
1746,0.44660734149054504,1798,11.675324675324676
1747,0.08826399361305774,11273,23.485416666666666
1748,0.06161473087818697,11296,23.533333333333335
1749,0.08913199426111908,11152,23.233333333333334
1750,0.11032632990612427,11185,23.302083333333332
1751,0.08763526698598545,11274,23.4875
1752,0.15380313199105144,5364,25.542857142857144
1787,0.16212447712004055,7889,18.694312796208532
1788,0.09742944454431063,11126,23.179166666666667
1789,0.12056800141118364,11338,23.620833333333334
1790,0.1383325981473313,11335,23.614583333333332
1791,0.15454794270595748,10961,22.835416666666667
1792,0.08309076475258005,11337,23.61875
1793,0.0921910805570245,11346,23.6375
1794,0.08550602747406784,7134,24.6
1835,1.0,244,1.6266666666666667
1836,0.11134770650341584,11271,23.48125
1837,0.09534127843986999,11076,23.075
1838,0.0166770158786481,11273,23.485416666666666
1839,0.10907156158552807,11277,23.49375
1840,0.12854358610914246,11288,23.516666666666666
1841,0.10037414527157786,7751,23.559270516717326
1908,,0,0.0
1909,0.36214788732394365,11360,23.666666666666668
1910,0.08497427709774703,11274,23.4875
1911,0.05515651325707192,11277,23.49375
1912,0.10687437732089484,11041,23.002083333333335
1913,0.03859119943222143,11272,23.483333333333334
1914,0.05582631812140009,11285,23.510416666666668
1915,0.35014836795252224,674,32.095238095238095
1986,0.09465351078476365,8716,22.63896103896104
1987,0.1449827617492288,11022,22.9625
1988,0.12122524082692931,9239,22.050119331742245
2019,,0,0.0
2020,,0,0.0
2021,,0,0.0
2022,,0,0.0
2023,0.15469509913954357,10692,22.275
2024,0.16675844346549193,10896,22.7
2025,0.11420711686928743,11269,23.477083333333333
2026,0.05973568281938326,11350,23.645833333333332
2027,0.07728957120169402,11334,23.6125
2028,0.08803288944499062,11189,23.75583864118896
3456,0.1865798853246552,6453,15.041958041958042
3457,0.2490640599001664,9616,20.033333333333335
3458,0.2153846153846154,5070,23.256880733944953
3491,0.2584605175846052,9042,18.8375
3492,0.4371069182389937,1590,22.083333333333332
3498,0.11657405170330998,8278,22.804407713498623
3499,0.12453432676955828,11274,23.4875
3500,0.1965645475473703,11294,23.529166666666665
3501,0.10093992644053944,9788,23.87317073170732
3559,,0,0.0
3560,0.13381603647090373,11187,23.30625
3561,0.13364312267657993,10760,22.416666666666668
3562,0.2570361599417069,10979,22.872916666666665
3563,0.10863016126174022,11286,23.5125
3564,0.08185053380782918,2810,25.089285714285715
3591,0.5807754442649434,1238,8.308724832214764
3592,0.15708123652048886,11128,23.183333333333334
3593,0.03962831374692539,7318,23.606451612903225
