,error rate,total produced,production speed [PC / min]
2349,0.37162602686139,7669,33.784140969163
2431,0.347796425160322,7329,35.577669902912625
2611,0.22166321396862979,3379,21.38607594936709
2612,0.06398009151481095,12457,42.515358361774744
2618,0.2617817947062621,3098,36.44705882352941
2619,0.088124718030979,19949,41.56041666666667
2620,0.04983388704318937,1204,43.0
2625,0.05850785340314136,15280,39.89556135770235
2626,0.15472689732841144,15983,42.060526315789474
2635,0.13751046275260073,8363,37.841628959276015
2636,0.07823529411764706,8500,42.5
2646,1.0,28,2.8
2647,0.2633582405188214,7093,14.777083333333334
2650,0.114139333438969,18933,39.44375
2651,0.07439220413903959,19908,41.475
2652,0.09515656928259789,18107,37.72291666666667
2653,0.07705557525710523,19739,41.12291666666667
2654,0.09090909090909091,1639,44.2972972972973
2657,0.9918367346938776,245,15.3125
2658,0.10543614357262103,19168,39.93333333333333
2659,0.06811415665742737,19482,40.5875
2660,0.1700543056633049,19335,40.28125
2661,0.15628186824393228,19612,40.858333333333334
2662,0.045981772990886495,7242,42.104651162790695
2665,0.11844341225784524,17654,38.8
2666,0.060798038113728095,19573,40.77708333333333
2667,0.10345971040123798,18094,37.69583333333333
2668,0.11167590881084412,19476,40.575
2669,0.112574909613194,20191,42.06458333333333
2670,0.157119056773036,7803,42.40760869565217
2673,0.09220612096458344,17873,39.98434004474273
2674,0.15691305635053784,20266,42.22083333333333
2675,0.06647807637906648,2828,5.891666666666667
2676,0.10358441558441558,19250,40.104166666666664
2677,0.04117036524489695,20233,42.15208333333333
2678,0.13024410426148117,12085,25.177083333333332
2679,0.10005964807634954,20118,41.9125
2680,0.0604834579534979,19526,40.67916666666667
2681,0.06677862293786427,20246,42.17916666666667
2682,0.10679039622919428,20367,42.43125
2683,0.08006730007917656,20208,42.1
2684,0.03282665742436996,20197,42.077083333333334
2685,0.13708428975604547,18733,39.02708333333333
2686,0.10034465780403742,10155,42.3125
2692,1.0,74,2.96
2693,0.15479153702551338,6428,41.47096774193548
2696,0.21335834896810507,13325,38.73546511627907
2697,0.14257228315054835,7021,42.041916167664674
2714,0.23972980424593326,7254,36.82233502538071
2715,0.10607734806629834,19910,41.479166666666664
2716,0.08304053050922948,20207,42.09791666666667
2717,0.10033638179333544,19026,39.6375
2718,0.04737648978784432,20221,42.12708333333333
2719,0.15455551457026928,18977,39.53541666666667
2720,0.14632707247516963,20338,42.37083333333333
2721,0.06737251922894312,21062,43.87916666666667
2722,0.1331307674994373,17772,37.025
2723,0.09305431878895815,20214,42.1125
2724,0.10412299091544375,1431,46.16129032258065
2729,0.21004033113988538,9422,39.588235294117645
2730,0.1057253249034071,19929,41.51875
2731,0.1396165813509987,19926,41.5125
2732,0.09139066035795104,19444,40.50833333333333
2733,0.06132932081149795,19273,40.15208333333333
2734,0.07315971699533344,19929,41.51875
2735,0.1595736089800533,12383,42.262798634812285
2744,0.39327279703286866,7819,33.414529914529915
2745,0.1936087030426653,17649,36.76875
2746,0.13791569896723824,20237,42.16041666666667
2747,0.07453416149068323,483,1.00625
2748,0.16140861466821885,17180,35.791666666666664
2749,0.1381926290430058,19509,40.64375
