Line,production day,shift,from,till,Code,Stof-Snelheid-Profiel,IO parts,NIO parts
103,1/4/2022,night,4/01/22 21:55,5/01/22 4:45,3006,FX-16m-37.xxx,6685,213
103,1/4/2022,night,5/01/22 4:45,5/01/22 5:55,3005,FX-16m-37.xxx,548,378
103,1/5/2022,early,5/01/22 5:55,5/01/22 13:55,3005,FX-16m-37.xxx,7161,929
103,1/5/2022,late,5/01/22 13:55,5/01/22 21:55,3005,FX-16m-37.xxx,7149,934
103,1/5/2022,night,5/01/22 21:55,6/01/22 5:55,3005,FX-16m-37.xxx,6881,873
103,1/6/2022,early,6/01/22 5:55,6/01/22 13:55,3005,FX-16m-37.xxx,7497,469
103,1/6/2022,late,6/01/22 13:55,6/01/22 21:55,3005,FX-16m-37.xxx,7348,716
103,1/6/2022,night,6/01/22 21:55,7/01/22 5:55,3005,FX-16m-37.xxx,7394,485
103,1/7/2022,early,7/01/22 5:55,7/01/22 13:55,3005,FX-16m-37.xxx,3355,1075
103,1/7/2022,late,7/01/22 13:55,7/01/22 19:27,3005,FX-16m-37.xxx,5103,503
103,1/7/2022,late,7/01/22 19:27,7/01/22 21:55,3004,FX-14m-18.xx,1391,556
103,1/7/2022,night,7/01/22 21:55,7/01/22 23:16,3004,FX-14m-18.xx,1196,39
103,1/7/2022,night,7/01/22 23:16,8/01/22 5:55,3006,FX-16m-37.xxx,5964,612
103,1/8/2022,early,8/01/22 5:55,8/01/22 13:55,3006,FX-16m-37.xxx,7584,277
103,1/9/2022,night,9/01/22 21:55,10/01/22 2:58,3006,FX-16m-37.xxx,4114,870
103,1/9/2022,night,10/01/22 2:58,10/01/22 5:55,3007,FX-20m-37.xxx,2660,906
103,1/10/2022,early,10/01/22 5:55,10/01/22 13:55,3007,FX-20m-37.xxx,9585,542
103,1/10/2022,late,10/01/22 13:55,10/01/22 13:59,3007,FX-20m-37.xxx,93,2
103,1/10/2022,late,10/01/22 13:59,10/01/22 19:16,3008,FX-20m-18.xx,5502,1002
103,1/10/2022,late,10/01/22 19:16,10/01/22 21:55,3005,FX-16m-37.xxx,2227,252
103,1/10/2022,night,10/01/22 21:55,11/01/22 5:55,3005,FX-16m-37.xxx,7490,742
103,1/11/2022,early,11/01/22 5:55,11/01/22 12:59,3005,FX-16m-37.xxx,6765,521
103,1/11/2022,early,11/01/22 12:59,11/01/22 13:55,3004,FX-14m-18.xx,171,495
103,1/11/2022,late,11/01/22 13:55,11/01/22 16:56,3004,FX-14m-18.xx,2613,141
103,1/11/2022,late,11/01/22 16:56,11/01/22 21:55,3006,FX-16m-37.xxx,4578,292
103,1/11/2022,night,11/01/22 21:55,12/01/22 5:55,3006,FX-16m-37.xxx,7776,295
103,1/12/2022,early,12/01/22 5:55,12/01/22 11:17,3006,FX-16m-37.xxx,4342,574
103,1/12/2022,early,12/01/22 11:17,12/01/22 13:55,3005,FX-16m-37.xxx,2159,352
103,1/12/2022,late,12/01/22 13:55,12/01/22 17:17,3005,FX-16m-37.xxx,3197,224
103,1/12/2022,late,12/01/22 17:17,12/01/22 21:55,3053,NU-20m-80.xx,1325,1375
103,1/12/2022,night,12/01/22 21:55,13/01/22 5:55,3053,NU-20m-80.xx,9162,964
103,1/13/2022,early,13/01/22 5:55,13/01/22 13:55,3053,NU-20m-80.xx,8844,1283
103,1/13/2022,late,13/01/22 13:55,13/01/22 21:55,3053,NU-20m-80.xx,9004,1125
103,1/13/2022,night,13/01/22 21:55,14/01/22 5:55,3053,NU-20m-80.xx,9128,1000
103,1/14/2022,early,14/01/22 5:55,14/01/22 13:55,3053,NU-20m-80.xx,9152,978
103,1/14/2022,late,14/01/22 13:55,14/01/22 21:55,3053,NU-20m-80.xx,9667,461
103,1/14/2022,night,14/01/22 21:55,15/01/22 5:55,3053,NU-20m-80.xx,9507,622
103,1/15/2022,early,15/01/22 5:55,15/01/22 13:46,3053,NU-20m-80.xx,9343,598
103,1/15/2022,early,15/01/22 13:46,15/01/22 13:55,3052,NU-22m-68.xxx,0,49
103,1/16/2022,night,16/01/22 21:55,17/01/22 5:55,3052,NU-22m-68.xxx,7035,2696
103,1/17/2022,early,17/01/22 5:55,17/01/22 11:47,3052,NU-22m-68.xxx,7551,744
103,1/17/2022,early,17/01/22 11:47,17/01/22 13:55,3053,NU-20m-80.xx,1880,462
103,1/17/2022,late,17/01/22 13:55,17/01/22 21:55,3053,NU-20m-80.xx,9648,622
103,1/17/2022,night,17/01/22 21:55,18/01/22 5:55,3053,NU-20m-80.xx,9392,876
103,1/18/2022,early,18/01/22 5:55,18/01/22 13:55,3053,NU-20m-80.xx,9257,1012
103,1/18/2022,late,18/01/22 13:55,18/01/22 21:55,3053,NU-20m-80.xx,9576,693
103,1/18/2022,night,18/01/22 21:55,19/01/22 5:55,3053,NU-20m-80.xx,9812,457
103,1/19/2022,early,19/01/22 5:55,19/01/22 13:55,3053,NU-20m-80.xx,9719,551
103,1/19/2022,late,19/01/22 13:55,19/01/22 21:55,3053,NU-20m-80.xx,9467,802
103,1/19/2022,night,19/01/22 21:55,20/01/22 5:55,3053,NU-20m-80.xx,9345,925
103,1/20/2022,early,20/01/22 5:55,20/01/22 7:21,3053,NU-20m-80.xx,1216,401
103,1/20/2022,early,20/01/22 7:21,20/01/22 13:55,3052,NU-22m-68.xxx,8190,757
103,1/20/2022,late,20/01/22 13:55,20/01/22 21:15,3052,NU-22m-68.xxx,9418,827
103,1/20/2022,late,20/01/22 21:15,20/01/22 21:55,3005,FX-16m-37.xxx,0,0
103,1/20/2022,night,20/01/22 21:55,21/01/22 5:55,3005,FX-16m-37.xxx,5469,842
103,1/21/2022,early,21/01/22 5:55,21/01/22 8:08,3005,FX-16m-37.xxx,2229,25
103,1/21/2022,early,21/01/22 8:08,21/01/22 13:55,3006,FX-16m-37.xxx,4772,743
103,1/21/2022,late,21/01/22 13:55,21/01/22 21:55,3006,FX-16m-37.xxx,7307,783
103,1/21/2022,night,21/01/22 21:55,22/01/22 5:55,3006,FX-16m-37.xxx,7310,766
103,1/22/2022,early,22/01/22 5:55,22/01/22 5:56,3006,FX-16m-37.xxx,27,0
103,1/22/2022,early,22/01/22 5:56,22/01/22 13:37,3004,FX-14m-18.xx,4489,1920
103,1/22/2022,early,22/01/22 13:37,22/01/22 13:55,3057,ND-20m-79.xxx,0,0
103,1/23/2022,night,23/01/22 21:55,24/01/22 5:55,3057,ND-20m-79.xxx,4117,5382
103,1/24/2022,early,24/01/22 5:55,24/01/22 13:55,3057,ND-20m-79.xxx,1781,2857
103,1/24/2022,late,24/01/22 13:55,24/01/22 14:17,3057,ND-20m-79.xxx,3,33
103,1/24/2022,late,24/01/22 14:17,24/01/22 21:55,3005,FX-16m-37.xxx,0,0
103,1/24/2022,night,24/01/22 21:55,25/01/22 5:55,3005,FX-16m-37.xxx,0,0
103,1/25/2022,early,25/01/22 5:55,25/01/22 13:55,3005,FX-16m-37.xxx,6367,1369
103,1/25/2022,late,25/01/22 13:55,25/01/22 21:55,3005,FX-16m-37.xxx,7168,903
103,1/25/2022,night,25/01/22 21:55,26/01/22 5:55,3005,FX-16m-37.xxx,6935,928
103,1/26/2022,early,26/01/22 5:55,26/01/22 13:55,3005,FX-16m-37.xxx,7231,859
103,1/26/2022,late,26/01/22 13:55,26/01/22 21:55,3005,FX-16m-37.xxx,6457,1480
103,1/26/2022,night,26/01/22 21:55,27/01/22 5:55,3005,FX-16m-37.xxx,7222,873
103,1/27/2022,early,27/01/22 5:55,27/01/22 8:09,3005,FX-16m-37.xxx,2085,211
103,1/27/2022,early,27/01/22 8:09,27/01/22 13:55,3006,FX-16m-37.xxx,3138,1616
103,1/27/2022,late,27/01/22 13:55,27/01/22 21:55,3006,FX-16m-37.xxx,7193,854
103,1/27/2022,night,27/01/22 21:55,28/01/22 1:13,3006,FX-16m-37.xxx,2678,655
103,1/27/2022,night,28/01/22 1:13,28/01/22 5:28,3007,FX-20m-37.xxx,4264,882
103,1/27/2022,night,28/01/22 5:28,28/01/22 5:55,3004,FX-14m-18.xx,2,290
103,1/28/2022,early,28/01/22 5:55,28/01/22 13:55,3004,FX-14m-18.xx,3329,1360
103,1/28/2022,late,28/01/22 13:55,28/01/22 21:55,3004,FX-14m-18.xx,6193,958
103,1/28/2022,night,28/01/22 21:55,29/01/22 0:58,3004,FX-14m-18.xx,2255,533
103,1/28/2022,night,29/01/22 0:58,29/01/22 5:55,3005,FX-16m-37.xxx,3355,1231
103,1/29/2022,early,29/01/22 5:55,29/01/22 13:55,3005,FX-16m-37.xxx,6453,1402
103,1/30/2022,night,30/01/22 21:55,31/01/22 5:55,3005,FX-16m-37.xxx,6836,1178
103,1/31/2022,early,31/01/22 5:55,31/01/22 6:02,3005,FX-16m-37.xxx,117,9
103,1/31/2022,early,31/01/22 6:02,31/01/22 11:12,3007,FX-20m-37.xxx,5433,1008
103,1/31/2022,early,31/01/22 11:12,31/01/22 12:50,3006,FX-16m-37.xxx,1065,469
103,1/31/2022,early,31/01/22 12:50,31/01/22 13:55,3008,FX-20m-18.xx,504,490
103,1/31/2022,late,31/01/22 13:55,31/01/22 19:04,3008,FX-20m-18.xx,4613,1226
103,1/31/2022,late,31/01/22 19:04,31/01/22 21:55,3006,FX-16m-37.xxx,2032,320
